Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80001;Abbeville;24 567;93001;Aubervilliers;63 136
80002;Ablaincourt-Pressoir;227;93005;Aulnay-sous-Bois;80 021
80003;Acheux-en-Amiénois;514;93006;Bagnolet;32 511
80004;Acheux-en-Vimeu;503;93007;Le Blanc-Mesnil;46 936
80005;Agenville;91;93008;Bobigny;44 079
80006;Agenvillers;181;93010;Bondy;46 826
80008;Aigneville;658;93013;Le Bourget;12 110
80009;Ailly-le-Haut-Clocher;831;93014;Clichy-sous-Bois;28 288
80010;Ailly-sur-Noye;2 643;93015;Coubron;4 612
80011;Ailly-sur-Somme;3 322;93027;La Courneuve;35 310
80013;Airaines;2 099;93029;Drancy;62 263
80014;Aizecourt-le-Bas;60;93030;Dugny;8 641
80015;Aizecourt-le-Haut;100;93031;Épinay-sur-Seine;46 409
80016;Albert;10 065;93032;Gagny;36 715
80017;Allaines;395;93033;Gournay-sur-Marne;5 925
80018;Allenay;279;93039;L'Île-Saint-Denis;6 810
80019;Allery;752;93045;Les Lilas;20 226
80020;Allonville;572;93046;Livry-Gargan;37 288
80021;Amiens;135 501;93047;Montfermeil;24 121
80022;Andainville;196;93048;Montreuil;90 674
80023;Andechy;212;93049;Neuilly-Plaisance;18 236
80024;Argoeuves;543;93050;Neuilly-sur-Marne;32 754
80025;Argoules;335;93051;Noisy-le-Grand;58 217
80026;Arguel;35;93053;Noisy-le-Sec;37 312
80027;Armancourt;21;93055;Pantin;49 919
80028;Arquèves;143;93057;Les Pavillons-sous-Bois;18 420
80029;Arrest;820;93059;Pierrefitte-sur-Seine;25 816
80030;Arry;164;93061;Le Pré-Saint-Gervais;16 377
80031;Arvillers;652;93062;Le Raincy;12 961
80032;Assainvillers;157;93063;Romainville;23 779
80033;Assevillers;228;93064;Rosny-sous-Bois;39 105
80034;Athies;632;93066;Saint-Denis;85 832
80035;Aubercourt;43;93070;Saint-Ouen;39 722
80036;Aubigny;536;93071;Sevran;47 063
80037;Aubvillers;96;93072;Stains;32 839
80038;Auchonvillers;147;93073;Tremblay-en-France;33 885
80039;Ault;2 070;93074;Vaujours;5 570
80040;Aumâtre;196;93077;Villemomble;26 995
80041;Aumont;116;93078;Villepinte;33 782
80042;Autheux;108;93079;Villetaneuse;11 376
80043;Authie;238;;;
80044;Authieule;356;;;
80045;Authuille;167;;;
80046;Avelesges;58;;;
80047;Aveluy;525;;;
80048;Avesnes-Chaussoy;53;;;
80049;Ayencourt;170;;;
80050;Bacouel-sur-Selle;574;;;
80051;Bailleul;232;;;
80052;Baizieux;215;;;
80053;Balâtre;54;;;
80054;Barleux;312;;;
80055;Barly;172;;;
80056;Bavelincourt;85;;;
80057;Bayencourt;73;;;
80058;Bayonvillers;345;;;
80059;Bazentin;77;;;
80060;Béalcourt;105;;;
80061;Beaucamps-le-Jeune;187;;;
80062;Beaucamps-le-Vieux;1 385;;;
80063;Beauchamps;987;;;
80064;Beaucourt-en-Santerre;114;;;
80065;Beaucourt-sur-l'Ancre;87;;;
80066;Beaucourt-sur-l'Hallue;226;;;
80067;Beaufort-en-Santerre;138;;;
80068;Beaumetz;170;;;
80069;Beaumont-Hamel;218;;;
80070;Beauquesne;1 176;;;
80071;Beauval;2 243;;;
80073;Bécordel-Bécourt;122;;;
80074;Becquigny;99;;;
80076;Béhen;439;;;
80077;Béhencourt;353;;;
80078;Bellancourt;429;;;
80079;Belleuse;280;;;
80080;Belloy-en-Santerre;167;;;
80081;Belloy-Saint-Léonard;102;;;
80082;Belloy-sur-Somme;788;;;
80083;Bergicourt;131;;;
80084;Bermesnil;203;;;
80085;Bernâtre;47;;;
80086;Bernaville;996;;;
80087;Bernay-en-Ponthieu;202;;;
80088;Bernes;331;;;
80089;Berneuil;214;;;
80090;Berny-en-Santerre;153;;;
80092;Bertangles;654;;;
80093;Berteaucourt-les-Dames;1 109;;;
80094;Berteaucourt-lès-Thennes;431;;;
80095;Bertrancourt;199;;;
80096;Béthencourt-sur-Mer;997;;;
80097;Béthencourt-sur-Somme;110;;;
80098;Bettembos;98;;;
80099;Bettencourt-Rivière;212;;;
80100;Bettencourt-Saint-Ouen;410;;;
80101;Beuvraignes;694;;;
80102;Biaches;416;;;
80103;Biarre;71;;;
80104;Biencourt;116;;;
80105;Billancourt;137;;;
80106;Blangy-sous-Poix;158;;;
80107;Blangy-Tronville;553;;;
80108;Boisbergues;76;;;
80109;Le Boisle;426;;;
80110;Boismont;497;;;
80112;Bonnay;251;;;
80113;Bonneville;348;;;
80114;Bosquel;293;;;
